landcover_class;veg_height;lai_max;veg_fractional_cover;veg_height_width_ratio;veg_leaf_width;veg_inclination_distribution;is_herbaceous;igbp_classification
0;0;0;0;0;0;0;0;255
10;1.2;5;1;1;0.02;0.5;1;12
11;1;5;1;1;0.02;0.5;1;12
12;2;5;0.5;2;0.1;1;0;12
20;1.2;5;1;1;0.02;0.5;1;12
30;1.2;5;0.5;1;0.05;0.5;1;14
40;1.2;5;0.5;1;0.1;0.5;1;14
50;10;5;1;1;0.15;1;0;2
60;10;5;1;1;0.15;1;0;4
61;10;5;1;1;0.15;1;0;4
62;10;5;0.4;1;0.15;1;0;4
70;20;5;1;2;0.05;1;0;1
71;20;5;1;2;0.05;1;0;1
72;20;5;0.4;2;0.05;1;0;1
80;20;5;1;2;0.05;1;0;3
81;20;5;1;2;0.05;1;0;3
82;20;5;0.4;2;0.05;1;0;3
90;15;5;1;1.5;0.1;1;0;5
100;8;5;0.75;1.5;0.15;0.8;0;8
110;8;5;0.25;1;0.02;0.5;1;9
120;1.5;4;1;1;0.05;1;0;6
121;1.5;4;1;1;0.05;1;0;6
122;1.5;4;1;1;0.05;1;0;6
130;0.5;4;1;1;0.02;0.5;1;10
140;0.05;1;1;1;0.001;1;0;16
150;2;2;0.15;1;0.05;1;0;9
151;10;5;0.15;1;0.1;1;0;9
152;1.5;4;0.15;1;0.05;1;0;7
153;0.5;4;0.15;1;0.02;0.5;1;10
160;10;5;1;1;0.1;1;0;11
170;10;5;1;1;0.1;1;0;11
180;1;5;1;1;0.02;0.5;0;11
190;20;0;0;0;0;0;0;13
200;0;0;0;0;0;0;0;16
201;0;0;0;0;0;0;0;16
202;0;0;0;0;0;0;0;16
210;0;0;0;0;0;0;0;0
220;0;0;0;0;0;0;0;15
